FOLIO_INT,h0302,h0303,h0402,entidad1,desc_ent1,municipio1,desc_mun1,ponde_f,estrato
2022_09007198_03,1,27,15,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4558,7605712492",3
2022_09007198_04,1,23,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4558,7605712492",3
2022_09007200_01,2,48,15,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3095,94647792165",3
2022_09007200_02,1,52, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3331,46212861069",3
2022_09007200_03,1,25,15,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4558,7605712492",3
2022_09007200_04,2,21, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4793,38027837435",3
2022_09007200_05,1,16, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4032,90570910265",3
2022_09007201_01,2,62,30,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3095,94647792165",3
2022_09007201_02,2,35, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4793,38027837435",3
2022_09007201_03,1,38, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4558,7605712492",3
2022_09007202_01,1,27, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3256,82882246945",3
2022_09007202_02,2,23,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3424,44372843832",3
2022_09007202_03,2,4, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3306,6264498655",3
2022_09007202_04,2,2, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3306,6264498655",3
2022_09007203_01,1,47, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2380,03328138192",3
2022_09007203_02,2,39, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3424,44372843832",3
2022_09007203_03,2,18,54,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3276,46792917569",3
2022_09007203_04,1,15, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2881,15231024471",3
2022_09007203_05,1,13, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2881,15231024471",3
2022_09007205_01,1,34, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3256,82882246945",3
2022_09007205_02,2,33, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3424,44372843832",3
2022_09007205_03,2,2, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3306,6264498655",3
2022_09007206_01,1,33,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3256,82882246945",3
2022_09007206_02,2,30,2,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3424,44372843832",3
2022_09007206_03,1,6,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3369,39497190779",3
2022_09007206_04,1,2,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"5316,49800263818",3
2022_09007207_01,1,33,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3256,82882246945",3
2022_09007207_02,2,33, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3424,44372843832",3
2022_09007207_03,1,12, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2881,15231024471",3
2022_09007207_04,2,11, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3276,46792917569",3
2022_09007208_01,1,54, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2380,03328138192",3
2022_09007208_02,2,56,56,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2211,77830345125",3
2022_09007208_03,1,23, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3256,82882246945",3
2022_09007210_01,1,43,56,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4653,70232435477",3
2022_09007210_02,2,46, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3160,42334209141",3
2022_09007210_03,2,20,44,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4893,2082732466",3
2022_09007210_04,1,14, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4116,89589287024",3
2022_09007211_01,1,49, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3400,84389366541",3
2022_09007211_02,2,40, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4893,2082732466",3
2022_09007211_03,1,17, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4116,89589287024",3
2022_09007211_04,2,15, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4681,76476223806",3
2022_09007211_05,1,1,52,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"7596,77602384545",3
2022_09007212_01,1,59, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3400,84389366541",3
2022_09007212_02,2,58, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3160,42334209141",3
2022_09007212_03,2,35, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4893,2082732466",3
2022_09007212_04,2,28, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4893,2082732466",3
2022_09007214_01,2,76,16,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3160,42334209141",3
2022_09007214_02,1,17,38,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4116,89589287024",3
2022_09007214_03,1,15,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4116,89589287024",3
2022_09007215_01,1,79, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3400,84389366541",3
2022_09007216_01,2,59,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3160,42334209141",3
2022_09007216_02,1,61, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3400,84389366541",3
2022_09007217_01,1,62, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2573,49976251563",3
2022_09007218_01,2,52, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2391,56779159158",3
2022_09007220_01,2,40,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3702,80751568616",3
